id,queued_time,wait_time,runtime,node_requested,node_used,walltime
263,2078049,28,921,2,2,7200
264,2078167,47,1410,128,128,3600
265,2078168,26,446,64,64,3600
266,2078273,18,1510,1,1,39600
267,2078283,27,1393,64,64,3600
268,2080795,22,11524,1,1,600
269,2080835,41,7278,1,1,39600
270,2085388,11313,10994,96,96,14400
271,2087958,27,2176,1,1,43200
272,2088194,11140,21697,1,1,1800
273,2088392,28,7278,8,8,7200
274,2088576,9246,14474,1,1,39600
275,2088578,9939,14489,3,3,172800
276,2088588,10383,94,64,64,14400
277,2088590,10480,118,64,64,14400
278,2088593,10601,93,64,64,14400
279,2088647,10647,14489,1,1,43200
280,2088651,21671,14481,64,64,14400
281,2088653,21988,14479,1,1,43200
282,2088655,22064,14482,1,1,259200
283,2088657,22121,14480,1,1,86400
284,2089641,11381,22631,128,128,21600
285,2090046,10995,22629,1,1,43200
286,2091270,27,2418,2,2,7200
287,2092292,20,12094,48,48,14400
288,2093085,4977,4047,1,1,39600
289,2093104,9031,3052,256,256,9000
290,2093111,12143,3034,1,1,21600
291,2093125,7877,4224,1,1,32340
292,2096175,4886,22828,6,6,7200
293,2096355,25,8319,1,1,39600
294,2097348,1644,2264,6,6,1800
295,2097626,3455,22828,128,128,21600
296,2100225,877,22828,128,128,21600
297,2104352,23,13170,48,48,14400
298,2105021,18,7297,8,8,7200
299,2105148,44,15402,64,64,14400
300,2105151,81,15421,1,1,1200
301,2105153,120,15441,1,1,43200
302,2105155,139,15599,64,64,14400
303,2105157,157,15637,64,64,14400
304,2105168,166,15559,64,64,14400
305,2105171,183,15637,64,64,14400
306,2105173,2571,15411,64,64,14400
307,2105176,3142,15411,1,1,14400
308,2105188,3150,15611,1,1,39600
309,2105190,15434,14473,1,1,43200
310,2105192,15491,14474,1,1,43200
311,2105194,15547,14473,1,1,39600
312,2105196,15760,14473,1,1,660
313,2105208,15788,14492,64,64,14400
314,2105209,15824,14513,1,1,39600
315,2105211,15847,14507,1,1,86400
316,2105213,17971,14479,10,10,3600
317,2105216,18542,14476,6,6,7200
318,2105218,18741,14490,64,64,14400
319,2105307,2417,2171,2,2,7200
320,2105764,2595,1256,1,1,172800
321,2107637,2007,10911,1,1,21600
322,2112522,18,2181,64,64,7200
323,2112849,26,7282,8,8,7200
324,2115986,27,91,1,1,1200
325,2116070,37,21692,128,128,21600
326,2116167,24,21705,128,128,21600
327,2117492,21,12187,48,48,14400
328,2119917,29,7305,8,8,7200
329,2120504,22,11029,96,96,14400
330,2120623,36,7285,3,3,28800
331,2121497,23,21691,1,1,43200
332,2124230,24,21725,1,1,5100
333,2124569,24,21700,128,128,21600
334,2124962,27,21691,128,128,21600
335,2124963,45,21692,1,1,21600
336,2125379,26,21712,128,128,21600
337,2128372,7,7284,8,8,7200
338,2129648,21,12234,48,48,14400
339,2131504,21,11236,1,1,14400
340,2135936,27,7287,1,1,3600
341,2137665,45,14499,64,64,14400
342,2137667,65,14496,1,1,3600
343,2137669,81,14496,1,1,7200
344,2137671,21,14475,1,1,10800
345,2137673,95,14497,1,1,39600
346,2137684,120,14500,1,1,1800
347,2137686,142,14496,64,64,14400
348,2137688,159,14516,64,64,14400
349,2137708,158,89,1,1,39600
350,2137712,188,95,64,64,14400
351,2137725,275,97,64,64,14400
352,2137727,298,110,171,171,1800
353,2137729,413,92,64,64,14400
354,2137742,423,14478,1,1,21600
355,2137744,519,14480,64,64,14400
356,2137746,14482,14510,1,1,1320
357,2137748,14585,14484,2,2,129600
358,2137749,14643,14483,1,1,39600
359,2137761,14650,14505,64,64,14400
360,2137763,14668,14503,64,64,14400
361,2138057,44,19214,128,128,21600
362,2138766,13687,14501,1,1,39600
363,2138768,13704,14502,64,64,14400
364,2138770,13903,14481,1,1,43200
365,2138772,14017,14502,1,1,900
366,2138783,14029,14497,64,64,14400
367,2139705,28,4085,256,256,9000
368,2139912,20,4158,256,256,9000
369,2140013,1107,18418,1,1,72000
370,2140022,29,14598,11,11,7200
371,2141870,39,12013,48,48,14400
372,2142709,23,108,256,256,21600
373,2142726,41,11409,96,96,14400
374,2143587,24,207,1,1,43200
375,2143799,50,7284,8,8,7200
376,2143800,68,44208,1,1,600
377,2143848,38,1263,1,1,86400
378,2144017,102,22658,1,1,39600
379,2145270,44,1018,256,256,2400
380,2146339,20,89,256,256,2400
381,2146396,58,91,64,64,2400
382,2146547,24,91,64,64,2400
383,2146701,64,21708,128,128,21600
384,2146710,37,1185,1,1,7200
385,2146841,23,2116,1,1,172800
386,2147079,40,21710,1,1,39600
387,2147460,25,21694,1,1,39600
388,2147841,38,21711,1,1,172800
389,2147842,18,21691,1,1,43200
390,2147952,27,1220,64,64,2400
391,2148151,859,2477,1,1,86400
392,2148982,246,3076,1,1,21600
393,2150687,828,4183,1,1,14400
394,2151497,872,2478,512,512,2400
395,2151564,28,1192,1,1,1740
396,2151700,121,7288,1,1,39600
397,2152384,2492,645,256,256,14400
398,2152446,2449,667,256,256,14400
399,2152686,1992,15386,1,1,36000
400,2152689,2163,15391,64,64,14400
401,2152705,2723,14477,64,64,14400
402,2152749,2841,14474,27,27,5760
403,2152752,2857,14494,64,64,14400
404,2152803,1402,1194,64,64,2400
405,2152804,2826,14493,1,1,39600
406,2152808,2840,14496,1,1,259200
407,2152810,2918,15420,1,1,43200
408,2152824,2924,15580,1,1,39600
409,2152831,2935,15443,64,64,14400
410,2152968,18267,14497,1,1,1200
411,2152971,18380,14478,64,64,14400
412,2152984,18390,14493,1,1,10800
413,2152989,18403,14495,64,64,14400
414,2153003,18411,14512,64,64,14400
415,2153088,18345,14513,1,1,39600
416,2153092,18380,14512,64,64,14400
417,2153103,19003,14491,1,1,21600
418,2153108,19020,15395,1,1,10800
419,2153122,20342,14496,1,1,21600
420,2153864,38,11942,48,48,14400
421,2154124,3221,11066,96,96,14400
422,2154787,779,2203,1,1,600
423,2155109,15396,14493,1,1,600
424,2155112,15454,14492,1,1,43200
425,2155123,15581,14517,64,64,14400
426,2155126,15676,14478,1,1,36000
427,2155132,15905,14498,1,1,1200
428,2155203,15854,14498,1,1,24000
429,2155205,15911,14498,1,1,86400
430,2155206,15946,14521,64,64,14400
431,2155208,15969,14517,64,64,14400
432,2155243,15970,14519,64,64,14400
433,2155425,359,2298,1,1,86400
434,2156098,27,5685,2,2,1800
435,2157266,2673,21999,128,128,21600
436,2157405,9416,3681,1,1,1800
437,2157771,27,2134,256,256,2400
438,2159539,11006,1359,2,2,600
439,2159757,2359,7280,8,8,7200
440,2159941,20,2149,1,1,108000
441,2161673,29,2073,64,64,2400
442,2161731,8417,4051,1,1,86400
443,2162111,29,2482,256,256,2400
444,2162801,7726,3988,256,256,9000
445,2162903,2081,1655,128,128,2400
446,2162920,8060,111,200,200,7200
447,2163786,19,1173,1,1,1320
448,2164193,2653,4620,128,128,3600
449,2164194,4603,4663,64,64,3600
450,2164310,2670,3678,128,128,3600
451,2164311,5304,3685,1,1,7140
452,2164368,2715,3675,1,1,129600
453,2164369,5266,3685,64,64,3600
454,2164424,2758,3673,128,128,3600
455,2164432,5499,3691,1,1,39600
456,2164485,2853,3675,1,1,600
457,2164486,6197,3693,1,1,43200
458,2164525,4682,3676,128,128,3600
459,2164526,6257,3692,64,64,3600
460,2164997,3480,2478,1,1,10800
461,2165788,8693,11581,1,1,172800
462,2165978,2879,2490,256,256,2400
463,2166680,2914,2508,1,1,39600
464,2167488,7053,22837,128,128,21600
465,2168374,6147,11957,1,1,39600
466,2168453,1794,95,32,32,1800
467,2168898,7879,21707,128,128,21600
468,2169634,7163,21725,1,1,900
469,2169946,6871,21725,128,128,21600
470,2170512,2812,3426,128,128,1800
471,2170740,6098,21724,128,128,21600
472,2170962,293,7290,8,8,7200
473,2170964,2662,1301,64,64,2400
474,2171000,15132,14473,64,64,14400
475,2171003,15504,14470,64,64,14400
476,2171014,15611,14471,1,1,1320
477,2171136,16409,15408,64,64,14400
478,2171140,16448,14481,1,1,39600
479,2171153,16458,14497,1,1,10800
480,2171213,16419,15419,64,64,14400
481,2171215,16436,15421,27,27,5760
482,2171217,16454,15440,1,1,10800
483,2171218,16471,15581,4,4,3480
484,2171373,2832,3431,256,256,2400
